  QueueTimes | ServiceTimes | SojournTimes
       0.163 |        2.801 |        2.965
       0.072 |        0.348 |        0.421
       0.133 |        0.350 |        0.483
       0.166 |        2.102 |        2.269
       0.121 |        2.466 |        2.587
       0.151 |        0.349 |        0.500
       0.066 |        2.230 |        2.297
       0.087 |        1.786 |        1.872
       0.182 |        2.158 |        2.339
       0.079 |        0.406 |        0.486
       0.136 |        0.769 |        0.906
       0.100 |        0.428 |        0.527
       0.115 |        1.835 |        1.950
       0.067 |        0.948 |        1.015
       0.078 |        0.663 |        0.741
       0.129 |        0.482 |        0.611
       0.136 |        1.031 |        1.167
       0.129 |        0.635 |        0.764
       0.152 |        0.561 |        0.713
       0.068 |        0.604 |        0.672
       0.066 |        0.686 |        0.752
       0.063 |        1.551 |        1.613
       0.067 |        0.420 |        0.487
       0.090 |        0.463 |        0.553
       0.105 |        0.525 |        0.631
       0.148 |        0.626 |        0.774
       0.198 |        1.554 |        1.752
       0.183 |        0.374 |        0.557
       0.080 |        2.520 |        2.600
       0.106 |        1.225 |        1.331
       0.111 |        0.456 |        0.567
       0.078 |        0.507 |        0.586
       0.065 |        0.655 |        0.720
       0.141 |        3.113 |        3.254
       0.114 |        1.595 |        1.709
       0.168 |        0.511 |        0.679
       0.117 |        0.550 |        0.668
       0.070 |        0.884 |        0.954
       0.144 |        0.948 |        1.092
       0.214 |        1.882 |        2.095
       0.120 |        0.751 |        0.872
       0.076 |        2.927 |        3.003
       0.123 |        0.521 |        0.644
       0.065 |        2.299 |        2.364
       0.058 |        0.544 |        0.602
       0.106 |        0.882 |        0.988
       0.083 |        1.527 |        1.610
       0.088 |        1.177 |        1.265
       0.284 |        1.014 |        1.298
       0.132 |        1.186 |        1.318
       0.065 |        0.517 |        0.582
       0.228 |        0.360 |        0.588
       0.154 |        1.805 |        1.958
       0.115 |        1.488 |        1.603
       0.094 |        0.488 |        0.581
       0.121 |        1.495 |        1.617
       0.104 |        2.074 |        2.178
       0.082 |        0.770 |        0.852
       0.057 |        0.468 |        0.525
       0.125 |        0.404 |        0.530
       0.143 |        1.340 |        1.483
       0.103 |        0.630 |        0.734
       0.139 |        0.578 |        0.717
       0.222 |        1.812 |        2.034
       0.197 |        2.134 |        2.331
       0.100 |        2.346 |        2.446
       0.132 |        0.316 |        0.448
       0.083 |        0.485 |        0.568
       0.098 |        0.627 |        0.725
       0.166 |        0.944 |        1.109
       0.090 |        0.705 |        0.795
